芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	4	10	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	11	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	4	12	O
受理	ジュリ	ジュリ	受理	名詞	普通名詞	サ変可能	*	*	*	4	13	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	14	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	15	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	16	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	17	O
語っ	カタッ	カタル	語る	動詞	一般	*	*	五段-ラ行	連用形-促音便	4	18	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	19	O
。	*	*	。	補助記号	句点	*	*	*	*	4	20	O

現在	ゲンザイ	ゲンザイ	現在	名詞	普通名詞	副詞可能	*	*	*	3	-19	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-18	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	3	-17	O
家	カ	カ	家	接尾辞	名詞的	一般	*	*	*	3	-16	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-15	O
つい	ツイ	ツク	つく	動詞	一般	*	*	五段-カ行	連用形-イ音便	3	-14	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-13	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-12	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	-11	O
この	コノ	コノ	此の	連体詞	*	*	*	*	*	3	-10	O
方	カタ	カタ	方	名詞	普通名詞	助数詞可能	*	*	*	3	-9	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-8	O
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	-7	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-6	O
挙げる	アゲル	アゲル	上げる	動詞	非自立可能	*	*	下一段-ガ行	連体形-一般	3	-5	O
方	カタ	カタ	方	名詞	普通名詞	助数詞可能	*	*	*	3	-4	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-3	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	未然形-一般	3	-2	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	3	-1	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F
言い	イー	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	2	I-F
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	3	3	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
一方	イッポー	イッポウ	一方	名詞	普通名詞	副詞可能	*	*	*	3	5	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	6	O
、	*	*	、	補助記号	読点	*	*	*	*	3	7	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	3	8	O
家	カ	カ	家	接尾辞	名詞的	一般	*	*	*	3	9	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	10	O
“	*	*	“	補助記号	括弧開	*	*	*	*	3	11	O
良い	ヨイ	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	連体形-一般	3	12	O
行動	コードー	コウドウ	行動	名詞	普通名詞	サ変可能	*	*	*	3	13	O
”	*	*	”	補助記号	括弧閉	*	*	*	*	3	14	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	15	O
激励	ゲキレー	ゲキレイ	激励	名詞	普通名詞	サ変可能	*	*	*	3	16	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	3	17	O
必要	ヒツヨー	ヒツヨウ	必要	名詞	普通名詞	形状詞可能	*	*	*	3	18	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	19	O
強調	キョーチョー	キョウチョウ	強調	名詞	普通名詞	サ変可能	*	*	*	3	20	O
。	*	*	。	補助記号	句点	*	*	*	*	3	21	O

その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	2	-6	O
経過	ケーカ	ケイカ	経過	名詞	普通名詞	サ変可能	*	*	*	2	-5	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-4	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連用形-一般	2	-3	O
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	2	-2	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-1	O
国家	コッカ	コッカ	国家	名詞	普通名詞	一般	*	*	*	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	2	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
個人	コジン	コジン	個人	名詞	普通名詞	一般	*	*	*	2	4	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	6	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	7	O
和解	ワカイ	ワカイ	和解	名詞	普通名詞	サ変可能	*	*	*	2	8	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	9	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	10	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	11	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	12	O
内	ウチ	ウチ	内	名詞	普通名詞	副詞可能	*	*	*	2	13	O
向け	ムケ	ムケ	向け	接尾辞	名詞的	一般	*	*	*	2	14	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	15	O
しか	シカ	シカ	しか	助詞	副助詞	*	*	*	*	2	16	O
通用	ツーヨー	ツウヨウ	通用	名詞	普通名詞	サ変可能	*	*	*	2	17	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-一般	2	18	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	2	19	O
言葉	コトバ	コトバ	言葉	名詞	普通名詞	一般	*	*	*	2	20	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	21	O
捨てる	ステル	ステル	捨てる	動詞	一般	*	*	下一段-タ行	終止形-一般	2	22	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	23	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	24	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	25	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	26	O
痛感	ツーカン	ツウカン	痛感	名詞	普通名詞	サ変可能	*	*	*	2	27	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	28	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	29	O
。	*	*	。	補助記号	句点	*	*	*	*	2	30	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A
全盛	ゼンセー	ゼンセイ	全盛	名詞	普通名詞	一般	*	*	*	2	3	O
期	キ	キ	期	名詞	普通名詞	助数詞可能	*	*	*	2	4	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	5	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	2	6	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	7	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	8	O
トン	トン	トン	トン-ton	名詞	普通名詞	助数詞可能	*	*	*	2	9	O
あっ	アッ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	2	10	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	11	O
生産	セーサン	セイサン	生産	名詞	普通名詞	サ変可能	*	*	*	2	12	O
高	コー	コウ	高	接尾辞	名詞的	一般	*	*	*	2	13	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	14	O
、	*	*	、	補助記号	読点	*	*	*	*	2	15	O
昨年	サクネン	サクネン	昨年	名詞	普通名詞	副詞可能	*	*	*	2	16	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	17	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	2	18	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	19	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	2	20	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	21	O
トン	トン	トン	トン-ton	名詞	普通名詞	助数詞可能	*	*	*	2	22	O
まで	マデ	マデ	まで	助詞	副助詞	*	*	*	*	2	23	O
落ち込ん	オチコン	オチコム	落ち込む	動詞	一般	*	*	五段-マ行	連用形-撥音便	2	24	O
だ	ダ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	25	O
、	*	*	、	補助記号	読点	*	*	*	*	2	26	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	27	O
吉嶺	ヨシミネ	ヨシミネ	ヨシミネ	名詞	固有名詞	人名	姓	*	*	2	28	O
氏	シ	シ	氏	接尾辞	名詞的	一般	*	*	*	2	29	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	30	O
指摘	シテキ	シテキ	指摘	名詞	普通名詞	サ変可能	*	*	*	2	31	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	32	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	33	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	34	O
。	*	*	。	補助記号	句点	*	*	*	*	2	35	O

夫	オット	オット	夫	名詞	普通名詞	一般	*	*	*	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-B
先立た	サキダタ	サキダツ	先立つ	動詞	一般	*	*	五段-タ行	未然形-一般	2	2	I-B
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	3	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	2	4	O
三	サン	サン	三	名詞	数詞	*	*	*	*	2	5	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	6	O
。	*	*	。	補助記号	句点	*	*	*	*	2	7	O

「	*	*	「	補助記号	括弧開	*	*	*	*	2	-9	O
完全	カンゼン	カンゼン	完全	形状詞	一般	*	*	*	*	2	-8	O
母体	ボタイ	ボタイ	母体	名詞	普通名詞	一般	*	*	*	2	-7	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	-6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-5	O
ほう	ホー	ホウ	方	名詞	普通名詞	一般	*	*	*	2	-4	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-3	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-2	O
貸手	カシテ	カシテ	貸し手	名詞	普通名詞	一般	*	*	*	2	-1	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F
比べ	クラベ	クラベル	比べる	動詞	一般	*	*	下一段-バ行	連用形-一般	2	2	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
三	サン	サン	三	名詞	数詞	*	*	*	*	2	4	O
倍	バイ	バイ	倍	名詞	普通名詞	助数詞可能	*	*	*	2	5	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	6	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	2	7	O
倍	バイ	バイ	倍	名詞	普通名詞	助数詞可能	*	*	*	2	8	O
、	*	*	、	補助記号	読点	*	*	*	*	2	9	O
損失	ソンシツ	ソンシツ	損失	名詞	普通名詞	サ変可能	*	*	*	2	10	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	11	O
