芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O	O
ドラマ	ドラマ	ドラマ	ドラマ-drama	名詞	普通名詞	一般	*	*	*	2	4	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O	O
新しい	アタラシー	アタラシイ	新しい	形容詞	一般	*	*	形容詞	連体形-一般	2	6	O	O
可能	カノー	カノウ	可能	形状詞	一般	*	*	*	*	2	7	O	O
性	セー	セイ	性	接尾辞	名詞的	一般	*	*	*	2	8	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	9	O	O
開け	アケ	アケル	開ける	動詞	一般	*	*	下一段-カ行	連用形-一般	2	10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	11	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	12	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	13	O	O
言う	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	終止形-一般	2	14	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	15	O	O

自習	ジシュー	ジシュウ	自習	名詞	普通名詞	サ変可能	*	*	*	4	-2	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-1	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	0	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F	I-F
いけ	イケ	イク	行く	動詞	非自立可能	*	*	下一段-カ行	未然形-一般	4	3	I-F	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	4	4	I-F	I-F
。	*	*	。	補助記号	句点	*	*	*	*	4	5	O	O

機関	キカン	キカン	機関	名詞	普通名詞	一般	*	*	*	3	-4	O	O
誌	シ	シ	誌	接尾辞	名詞的	一般	*	*	*	3	-3	O	O
づくり	ズクリ	ツクリ	作り	名詞	普通名詞	一般	*	*	*	3	-2	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-1	O	O
編集	ヘンシュー	ヘンシュウ	編集	名詞	普通名詞	サ変可能	*	*	*	3	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-F	B-C
あたっ	アタッ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	2	I-F	I-C
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-F	I-C
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O	O
どんな	ドンナ	ドンナ	どんな	連体詞	*	*	*	*	*	3	5	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	3	6	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	7	O	O
留意	リューイ	リュウイ	留意	名詞	普通名詞	サ変可能	*	*	*	3	8	O	O
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	3	9	O	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	3	10	O	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	3	11	O	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	3	12	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	13	O	O

今	イマ	イマ	今	名詞	普通名詞	副詞可能	*	*	*	2	-7	O	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	-6	O	O
参謀	サンボー	サンボウ	参謀	名詞	普通名詞	一般	*	*	*	2	-5	O	O
総長	ソーチョー	ソウチョウ	総長	名詞	普通名詞	一般	*	*	*	2	-4	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-3	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	-2	O	O
解任	カイニン	カイニン	解任	名詞	普通名詞	サ変可能	*	*	*	2	-1	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
あたり	アタリ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-一般	2	2	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
ここ	ココ	ココ	此処	代名詞	*	*	*	*	*	2	4	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O	O
あなた	アナタ	アナタ	貴方	代名詞	*	*	*	*	*	2	6	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	7	O	O
功績	コーセキ	コウセキ	功績	名詞	普通名詞	一般	*	*	*	2	8	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	9	O	O
勤労	キンロー	キンロウ	勤労	名詞	普通名詞	サ変可能	*	*	*	2	10	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	11	O	O
思い	オモイ	オモウ	思う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	12	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	13	O	O
私	ワタクシ	ワタクシ	私-代名詞	代名詞	*	*	*	*	*	2	14	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	15	O	O
深い	フカイ	フカイ	深い	形容詞	一般	*	*	形容詞	連体形-一般	2	16	O	O
喜び	ヨロコビ	ヨロコビ	喜び	名詞	普通名詞	一般	*	*	*	2	17	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	18	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	19	O	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	20	O	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	21	O	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	2	22	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	23	O	O

それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	4	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	1	B-B	B-B
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	2	I-B	I-B
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-B	I-B
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	4	I-B	I-B
不思議	フシギ	フシギ	不思議	名詞	普通名詞	形状詞可能	*	*	*	4	5	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	4	6	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	7	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	8	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	9	O	O
出社	シュッシャ	シュッシャ	出社	名詞	普通名詞	サ変可能	*	*	*	4	10	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	11	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	12	O	O
仕事	シゴト	シゴト	仕事	名詞	普通名詞	サ変可能	*	*	*	4	13	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	14	O	O
始める	ハジメル	ハジメル	始める	動詞	非自立可能	*	*	下一段-マ行	終止形-一般	4	15	O	O
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	16	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	4	17	O	O
禁断	キンダン	キンダン	禁断	名詞	普通名詞	サ変可能	*	*	*	4	18	O	O
症状	ショージョー	ショウジョウ	症状	名詞	普通名詞	一般	*	*	*	4	19	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	20	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	21	O	O
現れる	アラワレル	アラワレル	現われる	動詞	一般	*	*	下一段-ラ行	連体形-一般	4	22	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	4	23	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	4	24	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	25	O	O

一方	イッポー	イッポウ	一方	接続詞	*	*	*	*	*	4	-36	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-35	O	O
小沢	オザワ	オザワ	オザワ	名詞	固有名詞	人名	姓	*	*	4	-34	O	O
氏	シ	シ	氏	接尾辞	名詞的	一般	*	*	*	4	-33	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-32	O	O
会見	カイケン	カイケン	会見	名詞	普通名詞	サ変可能	*	*	*	4	-31	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	4	-30	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	4	-29	O	O
法	ホー	ホウ	法	名詞	普通名詞	一般	*	*	*	4	-28	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-27	O	O
触れ	フレ	フレル	触れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	4	-26	O	O
たり	タリ	タリ	たり	助詞	副助詞	*	*	*	*	4	-25	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-24	O	O
批判	ヒハン	ヒハン	批判	名詞	普通名詞	サ変可能	*	*	*	4	-23	O	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	4	-22	O	O
れる	レル	レル	れる	助動詞	*	*	*	助動詞-レル	連体形-一般	4	-21	O	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	4	-20	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	4	-19	O	O
事実	ジジツ	ジジツ	事実	名詞	普通名詞	副詞可能	*	*	*	4	-18	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-17	O	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	終止形-一般	4	-16	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-15	O	O
信じ	シンジ	シンズル	信ずる	動詞	一般	*	*	サ行変格	連用形-一般	4	-14	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	-13	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	4	-12	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	4	-11	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-10	O	O
彼	カレ	カレ	彼	代名詞	*	*	*	*	*	4	-9	O	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	4	-8	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-7	O	O
申し出で	モーシイデ	モウシイデ	申し出で	名詞	普通名詞	一般	*	*	*	4	-6	O	O
『	*	*	『	補助記号	括弧開	*	*	*	*	4	-5	O	O
党	トー	トウ	党	名詞	普通名詞	一般	*	*	*	4	-4	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-3	O	O
迷惑	メーワク	メイワク	迷惑	名詞	普通名詞	サ変形状詞可能	*	*	*	4	-2	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-1	O	O
かけ	カケ	カケル	掛ける	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	4	0	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F	I-F
いけ	イケ	イク	行く	動詞	非自立可能	*	*	下一段-カ行	未然形-一般	4	3	I-F	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	4	4	I-F	I-F
』	*	*	』	補助記号	括弧閉	*	*	*	*	4	5	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	6	O	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	4	7	O	O
話	ハナシ	ハナシ	話	名詞	普通名詞	サ変可能	*	*	*	4	8	O	O
だっ	ダッ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	4	9	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	4	10	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	11	O	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	4	12	O	O
受理	ジュリ	ジュリ	受理	名詞	普通名詞	サ変可能	*	*	*	4	13	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	14	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	15	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	16	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	17	O	O
語っ	カタッ	カタル	語る	動詞	一般	*	*	五段-ラ行	連用形-促音便	4	18	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	19	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	20	O	O

現在	ゲンザイ	ゲンザイ	現在	名詞	普通名詞	副詞可能	*	*	*	3	-19	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-18	O	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	3	-17	O	O
家	カ	カ	家	接尾辞	名詞的	一般	*	*	*	3	-16	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-15	O	O
つい	ツイ	ツク	つく	動詞	一般	*	*	五段-カ行	連用形-イ音便	3	-14	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-13	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-12	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	-11	O	O
この	コノ	コノ	此の	連体詞	*	*	*	*	*	3	-10	O	O
方	カタ	カタ	方	名詞	普通名詞	助数詞可能	*	*	*	3	-9	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-8	O	O
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	-7	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-6	O	O
挙げる	アゲル	アゲル	上げる	動詞	非自立可能	*	*	下一段-ガ行	連体形-一般	3	-5	O	O
方	カタ	カタ	方	名詞	普通名詞	助数詞可能	*	*	*	3	-4	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-3	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	未然形-一般	3	-2	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	3	-1	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F	B-F
言い	イー	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	2	I-F	I-F
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	3	3	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O	O
一方	イッポー	イッポウ	一方	名詞	普通名詞	副詞可能	*	*	*	3	5	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	6	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	7	O	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	3	8	O	O
家	カ	カ	家	接尾辞	名詞的	一般	*	*	*	3	9	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	10	O	O
“	*	*	“	補助記号	括弧開	*	*	*	*	3	11	O	O
良い	ヨイ	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	連体形-一般	3	12	O	O
行動	コードー	コウドウ	行動	名詞	普通名詞	サ変可能	*	*	*	3	13	O	O
”	*	*	”	補助記号	括弧閉	*	*	*	*	3	14	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	15	O	O
激励	ゲキレー	ゲキレイ	激励	名詞	普通名詞	サ変可能	*	*	*	3	16	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	3	17	O	O
必要	ヒツヨー	ヒツヨウ	必要	名詞	普通名詞	形状詞可能	*	*	*	3	18	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	19	O	O
強調	キョーチョー	キョウチョウ	強調	名詞	普通名詞	サ変可能	*	*	*	3	20	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	21	O	O

その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	2	-6	O	O
経過	ケーカ	ケイカ	経過	名詞	普通名詞	サ変可能	*	*	*	2	-5	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-4	O	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連用形-一般	2	-3	O	O
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	2	-2	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-1	O	O
国家	コッカ	コッカ	国家	名詞	普通名詞	一般	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	2	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
個人	コジン	コジン	個人	名詞	普通名詞	一般	*	*	*	2	4	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O	O
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	6	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	7	O	O
和解	ワカイ	ワカイ	和解	名詞	普通名詞	サ変可能	*	*	*	2	8	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	9	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	10	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	11	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	12	O	O
内	ウチ	ウチ	内	名詞	普通名詞	副詞可能	*	*	*	2	13	O	O
向け	ムケ	ムケ	向け	接尾辞	名詞的	一般	*	*	*	2	14	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	15	O	O
しか	シカ	シカ	しか	助詞	副助詞	*	*	*	*	2	16	O	O
通用	ツーヨー	ツウヨウ	通用	名詞	普通名詞	サ変可能	*	*	*	2	17	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-一般	2	18	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	2	19	O	O
言葉	コトバ	コトバ	言葉	名詞	普通名詞	一般	*	*	*	2	20	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	21	O	O
捨てる	ステル	ステル	捨てる	動詞	一般	*	*	下一段-タ行	終止形-一般	2	22	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	23	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	24	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	25	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	26	O	O
痛感	ツーカン	ツウカン	痛感	名詞	普通名詞	サ変可能	*	*	*	2	27	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	28	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	29	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	30	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A	I-A
全盛	ゼンセー	ゼンセイ	全盛	名詞	普通名詞	一般	*	*	*	2	3	O	O
期	キ	キ	期	名詞	普通名詞	助数詞可能	*	*	*	2	4	O	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	5	O	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	2	6	O	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	7	O	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	8	O	O
トン	トン	トン	トン-ton	名詞	普通名詞	助数詞可能	*	*	*	2	9	O	O
あっ	アッ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	2	10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	11	O	O
生産	セーサン	セイサン	生産	名詞	普通名詞	サ変可能	*	*	*	2	12	O	O
高	コー	コウ	高	接尾辞	名詞的	一般	*	*	*	2	13	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	14	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	15	O	O
昨年	サクネン	サクネン	昨年	名詞	普通名詞	副詞可能	*	*	*	2	16	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	17	O	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	2	18	O	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	19	O	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	2	20	O	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	21	O	O
トン	トン	トン	トン-ton	名詞	普通名詞	助数詞可能	*	*	*	2	22	O	O
まで	マデ	マデ	まで	助詞	副助詞	*	*	*	*	2	23	O	O
落ち込ん	オチコン	オチコム	落ち込む	動詞	一般	*	*	五段-マ行	連用形-撥音便	2	24	O	O
だ	ダ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	25	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	26	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	27	O	O
吉嶺	ヨシミネ	ヨシミネ	ヨシミネ	名詞	固有名詞	人名	姓	*	*	2	28	O	O
氏	シ	シ	氏	接尾辞	名詞的	一般	*	*	*	2	29	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	30	O	O
指摘	シテキ	シテキ	指摘	名詞	普通名詞	サ変可能	*	*	*	2	31	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	32	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	33	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	34	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	35	O	O

夫	オット	オット	夫	名詞	普通名詞	一般	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-B	B-B
先立た	サキダタ	サキダツ	先立つ	動詞	一般	*	*	五段-タ行	未然形-一般	2	2	I-B	I-B
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	3	O	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	2	4	O	O
三	サン	サン	三	名詞	数詞	*	*	*	*	2	5	O	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	6	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	7	O	O

「	*	*	「	補助記号	括弧開	*	*	*	*	2	-9	O	O
完全	カンゼン	カンゼン	完全	形状詞	一般	*	*	*	*	2	-8	O	O
母体	ボタイ	ボタイ	母体	名詞	普通名詞	一般	*	*	*	2	-7	O	O
